,Number of Null Values
loan_id,0
applicantincome,0
coapplicantincome,0
loanamount,0
loan_amount_term,0
credit_history,0
loan_status,0
self_employed_id,0
education_id,0
married_id,0
dependents_id,0
property_area_id,0
gender_id,0
