,Number of Null Values
balance,0
balance_frequency,0
purchases,0
oneoff_purchases,0
installments_purchases,0
cash_advance,0
purchases_frequency,0
oneoff_purchases_frequency,0
purchases_installments_frequency,0
cash_advance_frequency,0
cash_advance_trx,0
purchases_trx,0
credit_limit,0
payments,0
minimum_payments,0
prc_full_payment,0
tenure,0
