,Number of Null Values
customerid,0
tenure_months,0
transaction_date,0
quantity,0
avg_price,0
delivery_charges,0
gst,0
transaction_date_2,0
offline_spend,0
online_spend,0
transaction_month,0
customer_location_id,0
product_description_id,0
product_category_id,0
discount_pct_id,0
coupon_code_id,0
coupon_status_id,0
gender_id,0
product_sku_id,0
