,Number of Null Values
schoolcode,0
recorddate,0
saledate,0
price,0
salecode,0
recorddate_month,0
recorddate_year,0
recorddate_day_of_month,0
saledate_month,0
saledate_year,0
saledate_day_of_month,0
deedbook_id,0
schooldesc_id,0
instrtyp_id,0
saledesc_id,0
propertyfraction_id,0
deedpage_id,0
munidesc_id,0
propertyzip_id,0
propertyaddresssuf_id,0
municode_id,0
propertycity_id,0
