,Number of Null Values
customerid,0
age,0
gender,0
itempurchased,0
category,0
purchaseamount,0
purchaselocation,0
itemsize,0
color,0
season,0
reviewrating,0
subscriptionstatus,0
shippingtype,0
discountapplied,0
promocodeused,0
previouspurchases,0
paymentmethod,0
frequencyofpurchases,0
