,Kurtosis Value
postalcode,3.1616877595026955
electricrange,-0.03172864674118525
legislativedistrict,-1.0666099534430957
cafveligibility_id,-0.783678882126833
electricutility_id,-1.3444273568937826
city_id,-1.0627703920671212
make_id,-0.8082447550517471
model_id,-0.8863678647888422
statename_id,0.0
county_id,-0.14415555242122036
electricvehicletype_id,-0.23766695141502092
modelyear_id,-1.3838492467727477
