,Number of Null Values
stories,0
nr_of_rms,0
fin_sqft,0
units,0
bdrms,0
fbath,0
hbath,0
lotsize,0
sale_date,0
sale_price,0
month_sale_price,0
year_sale_price,0
proptype_id,0
year_built_id,0
nbhd_id,0
district_id,0
house_style_id,0
